FirstRecord,verbatimEventDate,eventRemarks
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
18471998,1847;1998,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",16th-17th centuries,low confidence
"",16th - 17th centuries,low confidence
20052013,2005 � 2013,low confidence
19961997,1996 � 1997,low confidence
"",No data,low confidence
19821983,1982 � 1983,low confidence
19971998,1997 � 1998,low confidence
20122013,2012 � 2013,low confidence
"",No data,low confidence
"",17th - 18th  centuries,low confidence
19971998,1997 � 1998,low confidence
19982003,1998 � 2003,low confidence
19291931,1929 � 1931,low confidence
19641969,1964 � 1969,low confidence
19831989,1983 � 1989,low confidence
"",No data,low confidence
19351963,1935 � 1963,low confidence
"",No data,low confidence
"",No data,low confidence
195719701973,1957 � 1970 � 1973,low confidence
"",No data,low confidence
19992003,1999 � 2003,low confidence
19501953,1950 � 1953,low confidence
19801985,1980 � 1985,low confidence
19311944,1931 � 1944,low confidence
"",No data,low confidence
198219942005,1982 � 1994 � 2005,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
17634,17634,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",�nd,low confidence
19204,19204,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
"",nd,low confidence
