taxonID,taxon,originalNameUsage,scientificName,scientificNameAuthorship,GBIFstatus,GBIFstatus_Synonym,GBIFmatchtype,GBIFtaxonRank,GBIFusageKey,GBIFnote,species,genus,family,order,class,phylum,kingdom,taxaGroup
576,Juncus bulbosus,Juncus bulbosus Vahl,Juncus bulbosus L.,"",ACCEPTED,"",EXACT,SPECIES,2701339,Accepted name provided in 'alternative names' in GBIF,Juncus bulbosus,Juncus,Juncaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
101,Juncus capillaceus,Juncus capillaceus,Juncus capillaceus Lam.,"",ACCEPTED,"",EXACT,SPECIES,2701164,"",Juncus capillaceus,Juncus,Juncaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1599,Kalanchoe marmorata,Kalanchoe marmorata NA,Kalanchoe marmorata Baker,"",ACCEPTED,"",EXACT,SPECIES,2985938,Accepted name provided in 'alternative names' in GBIF,Kalanchoe marmorata,Kalanchoe,Crassulaceae,Saxifragales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1310,Lampranthus multiradiatus,Lampranthus multiradiatus,Lampranthus multiradiatus (Jacq.) N.E.Br.,"",ACCEPTED,"",EXACT,SPECIES,3705230,"",Lampranthus multiradiatus,Lampranthus,Aizoaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1656,Lasiospermum bipinnatum,Lasiospermum bipinnatum,Lasiospermum bipinnatum (Thunb.) Druce,"",ACCEPTED,"",EXACT,SPECIES,3087213,"",Lasiospermum bipinnatum,Lasiospermum,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1108,Lathyrus latifolius,Lathyrus latifolius,Lathyrus latifolius L.,"",ACCEPTED,"",EXACT,SPECIES,5356517,"",Lathyrus latifolius,Lathyrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1205,Leersia hexandra,Leersia hexandra,Leersia hexandra Sw.,"",ACCEPTED,"",EXACT,SPECIES,2702901,"",Leersia hexandra,Leersia,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1286,Leontodon saxatilis Buser,Leontodon saxatilis Buser,"","",MISSING,"","","","","","","","","","","","",Other
713,Leucospermum tottum,Leucospermum tottum NA,Leucospermum tottum (L.) R.Br.,"",ACCEPTED,"",EXACT,SPECIES,3996931,Accepted name provided in 'alternative names' in GBIF,Leucospermum tottum,Leucospermum,Proteaceae,Proteales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
465,Limonium binervosum,Limonium binervosum (Smith) Salmon,Limonium binervosum (G.E.Sm.) C.E.Salmon,"",ACCEPTED,"",EXACT,SPECIES,9035514,"",Limonium binervosum,Limonium,Plumbaginaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
221,Linum strictum,Linum strictum,Linum strictum L.,"",ACCEPTED,"",EXACT,SPECIES,7426242,"",Linum strictum,Linum,Linaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1498,Lonicera periclymenum,Lonicera periclymenum,Lonicera periclymenum L.,"",ACCEPTED,"",EXACT,SPECIES,5334277,"",Lonicera periclymenum,Lonicera,Caprifoliaceae,Dipsacales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1223,Lophodermium juniperinum,Lophodermium juniperinum (Fr) de Not,Lophodermium juniperinum (Fr.) De Not.,(Fr) de Not,ACCEPTED,"",EXACT,SPECIES,2579827,"",Lophodermium juniperinum,Lophodermium,Rhytismataceae,Rhytismatales,Leotiomycetes,Ascomycota,Fungi,Other
937,Ludwigia repens,Ludwigia repens L,Ludwigia repens J.R.Forst.,"",ACCEPTED,"",EXACT,SPECIES,5421030,Accepted name provided in 'alternative names' in GBIF,Ludwigia repens,Ludwigia,Onagraceae,Myrtales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
863,Maclura pomifera,Maclura pomifera,Maclura pomifera (Raf. ex Sarg.) C.K.Schneid.,"",ACCEPTED,"",EXACT,SPECIES,2984580,"",Maclura pomifera,Maclura,Moraceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
