verbatim_fr,event_fr,confidence_fr
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
<1925,<1925,low confidence
<1994,<1994,low confidence
<1927,<1927,low confidence
<1939,<1939,low confidence
<2010,<2010,low confidence
<1749,<1749,low confidence
<1930,<1930,low confidence
<1850,<1850,low confidence
<1700,<1700,low confidence
<1800,<1800,low confidence
<1910,<1910,low confidence
<1970,<1970,low confidence
<1867,<1867,low confidence
<1760,<1760,low confidence
<1885,<1885,low confidence
Neophyte,neophyte,low confidence
<1685,<1685,low confidence
<1500,<1500,low confidence
Middle Ages,middle ages,low confidence
<1977,<1977,low confidence
<1965,<1965,low confidence
>1900,>1900,low confidence
>1850,>1850,low confidence
<2000,<2000,low confidence
Bronze Age,bronze age,low confidence
<1885,<1885,low confidence
<1875,<1875,low confidence
<1945,<1945,low confidence
Neophyte,neophyte,low confidence
Neolithic time,neolithic time,low confidence
<1800,<1800,low confidence
<1998,<1998,low confidence
<1998,<1998,low confidence
<1960,<1960,low confidence
Neolithic time,neolithic time,low confidence
Neophyte,neophyte,low confidence
<1966,<1966,low confidence
<1939,<1939,low confidence
<1885,<1885,low confidence
Archaeophyte,archaeophyte,low confidence
<1909,<1909,low confidence
<1938,<1938,low confidence
<1938,<1938,low confidence
<1965,<1965,low confidence
<1938,<1938,low confidence
<1939,<1939,low confidence
<1993,<1993,low confidence
<1960,<1960,low confidence
<1960,<1960,low confidence
<1850,<1850,low confidence
<1971,<1971,low confidence
<1923,<1923,low confidence
<1956,<1956,low confidence
Archaeophyte,archaeophyte,low confidence
<1902,<1902,low confidence
<1960,<1960,low confidence
<2000,<2000,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
<2000,<2000,low confidence
<1840,<1840,low confidence
<1835,<1835,low confidence
<1950,<1950,low confidence
<1960,<1960,low confidence
<1945,<1945,low confidence
<1910,<1910,low confidence
<1885,<1885,low confidence
Archaeophyte,archaeophyte,low confidence
<1900,<1900,low confidence
<1780,<1780,low confidence
<1880,<1880,low confidence
<1890,<1890,low confidence
<1830,<1830,low confidence
<1830,<1830,low confidence
<1845,<1845,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1925,<1925,low confidence
<1850,<1850,low confidence
<1830,<1830,low confidence
<1760,<1760,low confidence
<1830,<1830,low confidence
<1780,<1780,low confidence
<1993,<1993,low confidence
<1996,<1996,low confidence
<1900,<1900,low confidence
<1954,<1954,low confidence
<1960,<1960,low confidence
<1991,<1991,low confidence
<1921,<1921,low confidence
<1910,<1910,low confidence
<1935,<1935,low confidence
<1895,<1895,low confidence
<1859,<1859,low confidence
<1923,<1923,low confidence
<1935,<1935,low confidence
<1934,<1934,low confidence
<1952,<1952,low confidence
<1989,<1989,low confidence
<1998,<1998,low confidence
<1998,<1998,low confidence
<1996,<1996,low confidence
<2000,<2000,low confidence
<1998,<1998,low confidence
<2000,<2000,low confidence
<1998,<1998,low confidence
<1998,<1998,low confidence
<1995,<1995,low confidence
<1952,<1952,low confidence
<1790,<1790,low confidence
<1830,<1830,low confidence
Middle Ages,middle ages,low confidence
<1982,<1982,low confidence
<1929,<1929,low confidence
<1956,<1956,low confidence
<1988,<1988,low confidence
<1859,<1859,low confidence
Archaeophyte,archaeophyte,low confidence
<1900,<1900,low confidence
<1992,<1992,low confidence
<1925,<1925,low confidence
<1993,<1993,low confidence
<2000,<2000,low confidence
<1875,<1875,low confidence
<1995,<1995,low confidence
<1896,<1896,low confidence
<1896,<1896,low confidence
<1859,<1859,low confidence
Archaeophyte,archaeophyte,low confidence
<1937,<1937,low confidence
<1700,<1700,low confidence
<1952,<1952,low confidence
<2000,<2000,low confidence
Archaeophyte,archaeophyte,low confidence
<1992,<1992,low confidence
<1996,<1996,low confidence
>1758,>1758,low confidence
<1966,<1966,low confidence
<1956,<1956,low confidence
<1993,<1993,low confidence
<1996,<1996,low confidence
>1955,>1955,low confidence
<1885,<1885,low confidence
<1927,<1927,low confidence
<1998,<1998,low confidence
<1805,<1805,low confidence
<1977,<1977,low confidence
<1896,<1896,low confidence
<1927,<1927,low confidence
<1855,<1855,low confidence
<1952,<1952,low confidence
Archaeophyte,archaeophyte,low confidence
<1925,<1925,low confidence
<1952,<1952,low confidence
<2000,<2000,low confidence
<1996,<1996,low confidence
<1995,<1995,low confidence
<1853,<1853,low confidence
<1939,<1939,low confidence
<1929,<1929,low confidence
<1952,<1952,low confidence
<1850,<1850,low confidence
Archaeophyte,archaeophyte,low confidence
Middle Ages,middle ages,low confidence
<1971,<1971,low confidence
Archaeophyte,archaeophyte,low confidence
Middle Ages,middle ages,low confidence
<1835,<1835,low confidence
<1971,<1971,low confidence
Archaeophyte,archaeophyte,low confidence
<1925,<1925,low confidence
Middle Ages,middle ages,low confidence
<1948,<1948,low confidence
<1890,<1890,low confidence
<1859,<1859,low confidence
Archaeophyte,archaeophyte,low confidence
<1600,<1600,low confidence
<1880,<1880,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1948,<1948,low confidence
<1952,<1952,low confidence
<1935,<1935,low confidence
<1935,<1935,low confidence
<1835,<1835,low confidence
<1814,<1814,low confidence
<1838,<1838,low confidence
<1752,<1752,low confidence
<1920,<1920,low confidence
Middle Ages,middle ages,low confidence
Archaeophyte,archaeophyte,low confidence
<1658,<1658,low confidence
Archaeophyte,archaeophyte,low confidence
<1870,<1870,low confidence
<1995,<1995,low confidence
<1927,<1927,low confidence
<1960,<1960,low confidence
<1896,<1896,low confidence
<1927,<1927,low confidence
<1939,<1939,low confidence
<1952,<1952,low confidence
<1996,<1996,low confidence
<1966,<1966,low confidence
>1876,>1876,low confidence
>1907,>1907,low confidence
<1915,<1915,low confidence
<1952,<1952,low confidence
<1954,<1954,low confidence
<1960,<1960,low confidence
Archaeophyte,archaeophyte,low confidence
<1859,<1859,low confidence
Bronze Age,bronze age,low confidence
<1800,<1800,low confidence
<1859,<1859,low confidence
<1854,<1854,low confidence
<1937,<1937,low confidence
<1976,<1976,low confidence
<1880,<1880,low confidence
<1952,<1952,low confidence
<1946,<1946,low confidence
<1996,<1996,low confidence
<1700,<1700,low confidence
<1909,<1909,low confidence
<1900,<1900,low confidence
<1880,<1880,low confidence
<1966,<1966,low confidence
