verbatim_fr,event_fr,confidence_fr
From 1916,from 1916,low confidence
To 2013,to 2013,low confidence
To 2013,to 2013,low confidence
To 2016,to 2016,low confidence
To 1979,to 1979,low confidence
To 2016,to 2016,low confidence
To 1989,to 1989,low confidence
To 2003,to 2003,low confidence
To 2014,to 2014,low confidence
From 2007,from 2007,low confidence
To 2009,to 2009,low confidence
To 1987,to 1987,low confidence
To 1990,to 1990,low confidence
To 2007,to 2007,low confidence
From 1985,from 1985,low confidence
From 1954,from 1954,low confidence
From 2008,from 2008,low confidence
To 1928,to 1928,low confidence
To 1998,to 1998,low confidence
To 2016,to 2016,low confidence
To 1969,to 1969,low confidence
From 2015,from 2015,low confidence
To 1909,to 1909,low confidence
To 1888,to 1888,low confidence
To 2004,to 2004,low confidence
To 2016,to 2016,low confidence
To 1989,to 1989,low confidence
To 2011,to 2011,low confidence
From 2001,from 2001,low confidence
1913 October,1913 ,low confidence
2018 Februray,2018 februray,low confidence
1857 January ,1857 ,low confidence
1979 January,1979 ,low confidence
1881 January,1881 ,low confidence
1854 June,1854 ,low confidence
1960 December,1960 ,low confidence
1957 November,1957 ,low confidence
1857 January,1857 ,low confidence
2014 April,2014 ,low confidence
1821 January,1821 ,low confidence
1857 January,1857 ,low confidence
2018 February,2018 ,low confidence
1911 July,1911 ,low confidence
1947 September,1947 ,low confidence
1988 March,1988 ,low confidence
1856 July,1856 ,low confidence
1826 November,1826 ,low confidence
2018 July,2018 ,low confidence
1969 December,1969 ,low confidence
1959 May,1959 ,low confidence
1847 January,1847 ,low confidence
2019 November,2019 ,low confidence
1795 November,1795 ,low confidence
1799 January,1799 ,low confidence
1969 November,1969 ,low confidence
1798 December,1798 ,low confidence
2012 December,2012 ,low confidence
1881 April,1881 ,low confidence
1960 April,1960 ,low confidence
1981 July,1981 ,low confidence
1836 January,1836 ,low confidence
1902 March,1902 ,low confidence
1900 June,1900 ,low confidence
1965 August,1965 ,low confidence
1847 February,1847 ,low confidence
1856 August,1856 ,low confidence
1827 January,1827 ,low confidence
1848 June,1848 ,low confidence
1933 May,1933 ,low confidence
1933 April ,1933 ,low confidence
1847 June,1847 ,low confidence
1856 May,1856 ,low confidence
2005 June,2005 ,low confidence
2005 June,2005 ,low confidence
1821 January,1821 ,low confidence
2019 December,2019 ,low confidence
2015 August,2015 ,low confidence
2005 July,2005 ,low confidence
2019 October,2019 ,low confidence
1898 October,1898 ,low confidence
1954 September,1954 ,low confidence
1945 October,1945 ,low confidence
1820 October,1820 ,low confidence
1963 February ,1963 ,low confidence
1851 January,1851 ,low confidence
1856 August,1856 ,low confidence
1818 November,1818 ,low confidence
1855 June,1855 ,low confidence
1847 August,1847 ,low confidence
1992 August,1992 ,low confidence
1838 January,1838 ,low confidence
1838 January,1838 ,low confidence
1838 January,1838 ,low confidence
1775 January,1775 ,low confidence
1988 March,1988 ,low confidence
1884 March,1884 ,low confidence
1857 February,1857 ,low confidence
1953 January,1953 ,low confidence
1978 October,1978 ,low confidence
1898 July,1898 ,low confidence
1852 January,1852 ,low confidence
1882 October,1882 ,low confidence
1954 September,1954 ,low confidence
1977 June,1977 ,low confidence
2015 August,2015 ,low confidence
1947 September,1947 ,low confidence
2019 September,2019 ,low confidence
1988 March,1988 ,low confidence
1956 January,1956 ,low confidence
1961 September,1961 ,low confidence
1830 January,1830 ,low confidence
2020 January,2020 ,low confidence
1920 June,1920 ,low confidence
1930 August,1930 ,low confidence
1930 August,1930 ,low confidence
1815 February,1815 ,low confidence
1798 April ,1798 ,low confidence
1847 August,1847 ,low confidence
1998 October,1998 ,low confidence
1839 January,1839 ,low confidence
1799 October,1799 ,low confidence
2013 September,2013 ,low confidence
1847 October,1847 ,low confidence
1856 July,1856 ,low confidence
1776 January ,1776 ,low confidence
1933 December,1933 ,low confidence
2018 July,2018 ,low confidence
1958 January ,1958 ,low confidence
1931 February,1931 ,low confidence
2015 August,2015 ,low confidence
1848 August,1848 ,low confidence
1923 January ,1923 ,low confidence
1928 June,1928 ,low confidence
1969 June,1969 ,low confidence
1954 September,1954 ,low confidence
1809 May,1809 ,low confidence
1847 January,1847 ,low confidence
2018 January,2018 ,low confidence
1919 August,1919 ,low confidence
1810 October,1810 ,low confidence
1834 January,1834 ,low confidence
1959 May ,1959 ,low confidence
2017 February,2017 ,low confidence
2019 November,2019 ,low confidence
1959 June,1959 ,low confidence
1874 September,1874 ,low confidence
1903 October,1903 ,low confidence
1867 January,1867 ,low confidence
1870 March,1870 ,low confidence
2020 May,2020 ,low confidence
1678 January,1678 ,low confidence
1811 August,1811 ,low confidence
1906 April,1906 ,low confidence
1812 February,1812 ,low confidence
1895 March,1895 ,low confidence
1793 January,1793 ,low confidence
1961 June,1961 ,low confidence
1869 September,1869 ,low confidence
1837 January,1837 ,low confidence
2013 June,2013 ,low confidence
1933 May,1933 ,low confidence
1903 March ,1903 ,low confidence
1984 September,1984 ,low confidence
1896 January,1896 ,low confidence
1918 September,1918 ,low confidence
1939 January,1939 ,low confidence
1930 July,1930 ,low confidence
1948 September,1948 ,low confidence
1856 June,1856 ,low confidence
1957 March,1957 ,low confidence
1926 January,1926 ,low confidence
2013 November,2013 ,low confidence
2014 February,2014 ,low confidence
1899 March,1899 ,low confidence
1979 January,1979 ,low confidence
1856 August,1856 ,low confidence
1855 October,1855 ,low confidence
2019 September,2019 ,low confidence
1931 May,1931 ,low confidence
2002 December,2002 ,low confidence
1956 July ,1956 ,low confidence
1869 Septembe,1869 septembe,low confidence
1856 July ,1856 ,low confidence
2017 February,2017 ,low confidence
2011 September,2011 ,low confidence
2004 march,2004 ,low confidence
2000 August,2000 ,low confidence
1953 January,1953 ,low confidence
1984 November,1984 ,low confidence
1966 January,1966 ,low confidence
2002 December,2002 ,low confidence
2011 October,2011 ,low confidence
1841 January,1841 ,low confidence
1845 January,1845 ,low confidence
1852 January,1852 ,low confidence
1799 January,1799 ,low confidence
1847 August,1847 ,low confidence
1978 April,1978 ,low confidence
1882 January,1882 ,low confidence
1843 January,1843 ,low confidence
1978 December,1978 ,low confidence
1818 January,1818 ,low confidence
1847 August,1847 ,low confidence
1920 June,1920 ,low confidence
1838 August,1838 ,low confidence
1965 June,1965 ,low confidence
1928 May,1928 ,low confidence
1949 June,1949 ,low confidence
1966 February,1966 ,low confidence
1882 January,1882 ,low confidence
1933 June,1933 ,low confidence
1895 May,1895 ,low confidence
1857 March,1857 ,low confidence
1867 January,1867 ,low confidence
1863 September,1863 ,low confidence
1856 February,1856 ,low confidence
1836 January,1836 ,low confidence
1890 January,1890 ,low confidence
1996 July,1996 ,low confidence
2002 February,2002 ,low confidence
2019 May,2019 ,low confidence
1848 May,1848 ,low confidence
1978 December,1978 ,low confidence
1990 January,1990 ,low confidence
1959 March,1959 ,low confidence
1877 May,1877 ,low confidence
1798 February,1798 ,low confidence
1881 June,1881 ,low confidence
1968 November,1968 ,low confidence
1937 February,1937 ,low confidence
1978 January,1978 ,low confidence
1868 January,1868 ,low confidence
1937 march,1937 ,low confidence
1945 August,1945 ,low confidence
1903 December,1903 ,low confidence
1932 October,1932 ,low confidence
1848 May,1848 ,low confidence
1838 August,1838 ,low confidence
1856 December,1856 ,low confidence
1933 October,1933 ,low confidence
1856 January,1856 ,low confidence
1861 January,1861 ,low confidence
1880 December,1880 ,low confidence
1898 May,1898 ,low confidence
1826 December,1826 ,low confidence
1960 October,1960 ,low confidence
2005 August,2005 ,low confidence
1814 January,1814 ,low confidence
1810 August,1810 ,low confidence
1866 January,1866 ,low confidence
1836 January,1836 ,low confidence
1847 September,1847 ,low confidence
1835 October,1835 ,low confidence
1815 January,1815 ,low confidence
1903 October,1903 ,low confidence
1968 August,1968 ,low confidence
1836 January,1836 ,low confidence
1856 November,1856 ,low confidence
1836 January,1836 ,low confidence
1949 May,1949 ,low confidence
2020 March,2020 ,low confidence
2013 February,2013 ,low confidence
1856 August,1856 ,low confidence
1700 January,1700 ,low confidence
1837 January,1837 ,low confidence
1777 January,1777 ,low confidence
1811 July,1811 ,low confidence
1866 January,1866 ,low confidence
1836 January,1836 ,low confidence
1856 December,1856 ,low confidence
1947 November,1947 ,low confidence
1825 June,1825 ,low confidence
1845 March,1845 ,low confidence
1887 October,1887 ,low confidence
1987 January,1987 ,low confidence
1964 August,1964 ,low confidence
1983 January,1983 ,low confidence
2006 November,2006 ,low confidence
1930 August,1930 ,low confidence
1933 July,1933 ,low confidence
2017 February,2017 ,low confidence
2010 January,2010 ,low confidence
1836 January,1836 ,low confidence
1813 January,1813 ,low confidence
1796 January,1796 ,low confidence
1849 January,1849 ,low confidence
1919 January,1919 ,low confidence
2014 April,2014 ,low confidence
1849 November,1849 ,low confidence
2011 September,2011 ,low confidence
1967 November,1967 ,low confidence
1902 April,1902 ,low confidence
1854 January,1854 ,low confidence
1979 January,1979 ,low confidence
1830 July,1830 ,low confidence
2012 June,2012 ,low confidence
1808 June,1808 ,low confidence
2020 February,2020 ,low confidence
1855 September,1855 ,low confidence
1834 January ,1834 ,low confidence
1843 January ,1843 ,low confidence
1856 October,1856 ,low confidence
1834 January ,1834 ,low confidence
1869 July,1869 ,low confidence
1696 June,1696 ,low confidence
1908 June,1908 ,low confidence
1962 October,1962 ,low confidence
1847 August,1847 ,low confidence
1847 September,1847 ,low confidence
1889 January,1889 ,low confidence
1949 August,1949 ,low confidence
2012 December,2012 ,low confidence
1927 September,1927 ,low confidence
2018 July ,2018 ,low confidence
1809 January ,1809 ,low confidence
1890 March ,1890 ,low confidence
1813 December,1813 ,low confidence
1856 October,1856 ,low confidence
1856 August ,1856 ,low confidence
1785 January ,1785 ,low confidence
1828 January ,1828 ,low confidence
1990 June,1990 ,low confidence
1810 January ,1810 ,low confidence
1851 January,1851 ,low confidence
1777 January ,1777 ,low confidence
1866 January,1866 ,low confidence
1821 January,1821 ,low confidence
1831 January ,1831 ,low confidence
1860 May ,1860 ,low confidence
1990 June ,1990 ,low confidence
1812 March ,1812 ,low confidence
1802 January,1802 ,low confidence
1879 August,1879 ,low confidence
1777 January  ,1777 ,low confidence
1956 January,1956 ,low confidence
1937 March,1937 ,low confidence
1933 June ,1933 ,low confidence
1794 March ,1794 ,low confidence
1911 June ,1911 ,low confidence
2013 August,2013 ,low confidence
2015 March,2015 ,low confidence
1836 January,1836 ,low confidence
1779 January,1779 ,low confidence
1952 April,1952 ,low confidence
1866 January,1866 ,low confidence
2017 February,2017 ,low confidence
1899 March,1899 ,low confidence
1970 August,1970 ,low confidence
1898 June,1898 ,low confidence
1902 January,1902 ,low confidence
1847 September,1847 ,low confidence
1702 January ,1702 ,low confidence
1856 June ,1856 ,low confidence
1952 June,1952 ,low confidence
1881 January,1881 ,low confidence
1990 October,1990 ,low confidence
1917 June,1917 ,low confidence
1863 October,1863 ,low confidence
1836 January,1836 ,low confidence
1795 November,1795 ,low confidence
2019 February,2019 ,low confidence
2010 September,2010 ,low confidence
1827 January,1827 ,low confidence
1776 January ,1776 ,low confidence
1844 September,1844 ,low confidence
2013 December,2013 ,low confidence
1974 April ,1974 ,low confidence
1776 January,1776 ,low confidence
1889 October,1889 ,low confidence
1949 July,1949 ,low confidence
1886 April,1886 ,low confidence
1885 January,1885 ,low confidence
1969 June,1969 ,low confidence
1947 November,1947 ,low confidence
1909 July,1909 ,low confidence
1936 July,1936 ,low confidence
1949 May ,1949 ,low confidence
1990 June ,1990 ,low confidence
2005 June,2005 ,low confidence
1922 February ,1922 ,low confidence
1969 April,1969 ,low confidence
1924 January ,1924 ,low confidence
1910 November,1910 ,low confidence
1952 April,1952 ,low confidence
1931 April ,1931 ,low confidence
1912 May,1912 ,low confidence
1903 November,1903 ,low confidence
1942 September,1942 ,low confidence
1978 July ,1978 ,low confidence
1848 June,1848 ,low confidence
1916 June,1916 ,low confidence
1828 January ,1828 ,low confidence
1874 September,1874 ,low confidence
1838 January,1838 ,low confidence
1843 January ,1843 ,low confidence
1945 November,1945 ,low confidence
1865 January,1865 ,low confidence
1965 August,1965 ,low confidence
1835 january ,1835 ,low confidence
1969 August ,1969 ,low confidence
2014 January,2014 ,low confidence
1969 October,1969 ,low confidence
1882 August,1882 ,low confidence
1888 May,1888 ,low confidence
1951 July,1951 ,low confidence
1987 December,1987 ,low confidence
1813 January,1813 ,low confidence
1893 May ,1893 ,low confidence
1811 November,1811 ,low confidence
1864 January,1864 ,low confidence
1873 November,1873 ,low confidence
1964 December,1964 ,low confidence
1964 December,1964 ,low confidence
1848 May,1848 ,low confidence
2018 June,2018 ,low confidence
1937 February,1937 ,low confidence
1931 February,1931 ,low confidence
1969 February,1969 ,low confidence
1921 August,1921 ,low confidence
1967 December,1967 ,low confidence
2017 March,2017 ,low confidence
1851 January,1851 ,low confidence
1969 August ,1969 ,low confidence
1957 January,1957 ,low confidence
1933 August,1933 ,low confidence
1809 March,1809 ,low confidence
1904 April,1904 ,low confidence
1835 January ,1835 ,low confidence
1944 October,1944 ,low confidence
2013 September,2013 ,low confidence
1835 January ,1835 ,low confidence
1934 March,1934 ,low confidence
1909 March,1909 ,low confidence
1956 September,1956 ,low confidence
2013 May,2013 ,low confidence
1945 October,1945 ,low confidence
1839 January,1839 ,low confidence
1945 October,1945 ,low confidence
1814 December,1814 ,low confidence
1891 January,1891 ,low confidence
1810 April,1810 ,low confidence
1810 November,1810 ,low confidence
2020 February,2020 ,low confidence
1940 August,1940 ,low confidence
1976 June,1976 ,low confidence
1869 October,1869 ,low confidence
1977 November,1977 ,low confidence
1885 June,1885 ,low confidence
1855 September,1855 ,low confidence
2001 July,2001 ,low confidence
1852 January,1852 ,low confidence
1847 January,1847 ,low confidence
1850 July,1850 ,low confidence
1795 December,1795 ,low confidence
1847 January,1847 ,low confidence
1774 January,1774 ,low confidence
1794 December,1794 ,low confidence
1856 July,1856 ,low confidence
1847 January,1847 ,low confidence
1874 September,1874 ,low confidence
1980 September,1980 ,low confidence
1856 September,1856 ,low confidence
1969 March,1969 ,low confidence
2019 June,2019 ,low confidence
1971 August,1971 ,low confidence
2012 October,2012 ,low confidence
1896 January,1896 ,low confidence
1911 July,1911 ,low confidence
2012 April,2012 ,low confidence
1988 March,1988 ,low confidence
1813 January,1813 ,low confidence
2017 October,2017 ,low confidence
1870 April,1870 ,low confidence
1949 october,1949 ,low confidence
1880 December,1880 ,low confidence
1947 November,1947 ,low confidence
1843 January,1843 ,low confidence
1830 January,1830 ,low confidence
2017 January,2017 ,low confidence
1949 May,1949 ,low confidence
1796 October,1796 ,low confidence
1945 October,1945 ,low confidence
1834 January ,1834 ,low confidence
1903 December,1903 ,low confidence
1864 September,1864 ,low confidence
1953 October,1953 ,low confidence
2012 September,2012 ,low confidence
1810 November,1810 ,low confidence
1839 January,1839 ,low confidence
2016 April,2016 ,low confidence
1949 June,1949 ,low confidence
1808 January,1808 ,low confidence
1810 September,1810 ,low confidence
1811 April,1811 ,low confidence
1969 August,1969 ,low confidence
1889 November,1889 ,low confidence
1809 August,1809 ,low confidence
1885 October,1885 ,low confidence
1836 January,1836 ,low confidence
2014 September,2014 ,low confidence
1889 November,1889 ,low confidence
1948 August,1948 ,low confidence
1829 February,1829 ,low confidence
2016 April,2016 ,low confidence
1876 July,1876 ,low confidence
1884 January,1884 ,low confidence
2013 February,2013 ,low confidence
2018 July,2018 ,low confidence
1851 January,1851 ,low confidence
1952 April,1952 ,low confidence
1809 May,1809 ,low confidence
1837 May,1837 ,low confidence
1774 january,1774 ,low confidence
1930 June,1930 ,low confidence
1893 April,1893 ,low confidence
2020 February,2020 ,low confidence
1959 November,1959 ,low confidence
1950 May,1950 ,low confidence
1831 April,1831 ,low confidence
1869 May,1869 ,low confidence
2013 November,2013 ,low confidence
2017 February,2017 ,low confidence
1959 April,1959 ,low confidence
1827 January,1827 ,low confidence
2019 February,2019 ,low confidence
2011 March,2011 ,low confidence
1840 January,1840 ,low confidence
2017 March,2017 ,low confidence
1851 January,1851 ,low confidence
1857 March,1857 ,low confidence
1969 January,1969 ,low confidence
2019 March,2019 ,low confidence
1842 January,1842 ,low confidence
1835 November,1835 ,low confidence
2019 August,2019 ,low confidence
1945 December,1945 ,low confidence
1857 January,1857 ,low confidence
1880 November,1880 ,low confidence
1907 January,1907 ,low confidence
1933 July,1933 ,low confidence
1847 January,1847 ,low confidence
1952 September,1952 ,low confidence
1845 January,1845 ,low confidence
1936 May,1936 ,low confidence
1873 October,1873 ,low confidence
2015 August,2015 ,low confidence
1837 January,1837 ,low confidence
2016 October,2016 ,low confidence
1857 January,1857 ,low confidence
1913 April,1913 ,low confidence
1830 January,1830 ,low confidence
1902 May,1902 ,low confidence
1863 January,1863 ,low confidence
1895 April,1895 ,low confidence
1945 September,1945 ,low confidence
2013 November,2013 ,low confidence
1927 July,1927 ,low confidence
1874 October,1874 ,low confidence
1876 September,1876 ,low confidence
1931 November,1931 ,low confidence
1979 July,1979 ,low confidence
1834 January,1834 ,low confidence
1986 December,1986 ,low confidence
1837 January,1837 ,low confidence
1987 February,1987 ,low confidence
1945 September,1945 ,low confidence
1963 February,1963 ,low confidence
1856 August,1856 ,low confidence
1800 January,1800 ,low confidence
1856 July,1856 ,low confidence
1902 April,1902 ,low confidence
1980 December,1980 ,low confidence
2014 August,2014 ,low confidence
1886 January,1886 ,low confidence
1899 August,1899 ,low confidence
1898 October,1898 ,low confidence
1927 July,1927 ,low confidence
1851 December,1851 ,low confidence
1856 January,1856 ,low confidence
2019 September,2019 ,low confidence
1712 January,1712 ,low confidence
1851 January,1851 ,low confidence
1856 July,1856 ,low confidence
1856 December,1856 ,low confidence
1856 Juuly,1856 juuly,low confidence
2000 November,2000 ,low confidence
1887 October,1887 ,low confidence
1800 July,1800 ,low confidence
2014 August,2014 ,low confidence
1828 October,1828 ,low confidence
2018 April,2018 ,low confidence
2012 May,2012 ,low confidence
2013 November,2013 ,low confidence
1976 January,1976 ,low confidence
2014 November,2014 ,low confidence
1833 January,1833 ,low confidence
1884 March,1884 ,low confidence
1947 September,1947 ,low confidence
1835 April,1835 ,low confidence
1906 June,1906 ,low confidence
2017 January,2017 ,low confidence
1968 June,1968 ,low confidence
1850 October,1850 ,low confidence
1836 January,1836 ,low confidence
1809 May,1809 ,low confidence
1845 August,1845 ,low confidence
1903 December,1903 ,low confidence
1875 January,1875 ,low confidence
1847 August,1847 ,low confidence
1931 December,1931 ,low confidence
1959 June,1959 ,low confidence
1837 May,1837 ,low confidence
1825 September,1825 ,low confidence
1973 April,1973 ,low confidence
1874 June,1874 ,low confidence
1851 January,1851 ,low confidence
1798 December,1798 ,low confidence
1977 January,1977 ,low confidence
1875 January,1875 ,low confidence
1875 August,1875 ,low confidence
1830 January,1830 ,low confidence
2017 February,2017 ,low confidence
1847 January,1847 ,low confidence
1856 June,1856 ,low confidence
1887 August,1887 ,low confidence
1933 October,1933 ,low confidence
1931 May,1931 ,low confidence
1960 November,1960 ,low confidence
1836 January,1836 ,low confidence
1827 January,1827 ,low confidence
1885 October,1885 ,low confidence
1855 January,1855 ,low confidence
1928 July,1928 ,low confidence
1910 May,1910 ,low confidence
1914 January,1914 ,low confidence
2013 October,2013 ,low confidence
1967 August,1967 ,low confidence
1933 January,1933 ,low confidence
1914 January,1914 ,low confidence
2019 July,2019 ,low confidence
1832 July,1832 ,low confidence
1959 December,1959 ,low confidence
1957 October,1957 ,low confidence
1931 March,1931 ,low confidence
1845 January,1845 ,low confidence
1919 June,1919 ,low confidence
1944 March,1944 ,low confidence
1980 January,1980 ,low confidence
2013 January,2013 ,low confidence
2009 August,2009 ,low confidence
1897 January,1897 ,low confidence
1823 January,1823 ,low confidence
2013 September,2013 ,low confidence
1958 May,1958 ,low confidence
1957 March,1957 ,low confidence
1840 January,1840 ,low confidence
1857 January ,1857 ,low confidence
1856 December,1856 ,low confidence
1959 November,1959 ,low confidence
1922 May,1922 ,low confidence
1930 June,1930 ,low confidence
1933 April,1933 ,low confidence
2019 September,2019 ,low confidence
1984 October,1984 ,low confidence
1845 January,1845 ,low confidence
1927 May,1927 ,low confidence
2012 May,2012 ,low confidence
1925 April,1925 ,low confidence
1854 January,1854 ,low confidence
1914 April,1914 ,low confidence
1927 November,1927 ,low confidence
1949 October,1949 ,low confidence
2018 March,2018 ,low confidence
2018 April,2018 ,low confidence
1853 January,1853 ,low confidence
1944 March,1944 ,low confidence
1996 July,1996 ,low confidence
1977 January,1977 ,low confidence
1962 October,1962 ,low confidence
1959 October,1959 ,low confidence
1991 October,1991 ,low confidence
1881 August,1881 ,low confidence
2015 November,2015 ,low confidence
1892 October,1892 ,low confidence
2013 May,2013 ,low confidence
1815 January,1815 ,low confidence
1964 September,1964 ,low confidence
2013 September,2013 ,low confidence
1987 April,1987 ,low confidence
1863 January,1863 ,low confidence
1930 September,1930 ,low confidence
1867 January,1867 ,low confidence
1834 January,1834 ,low confidence
1852 January,1852 ,low confidence
1814 December,1814 ,low confidence
1831 January,1831 ,low confidence
1856 January,1856 ,low confidence
1799 October,1799 ,low confidence
1835 July,1835 ,low confidence
1964 April,1964 ,low confidence
1963 May,1963 ,low confidence
1902 August,1902 ,low confidence
1809 Fenruary,1809 fenruary,low confidence
1866 January,1866 ,low confidence
1833 January,1833 ,low confidence
1987 August,1987 ,low confidence
1874 September,1874 ,low confidence
1850 January,1850 ,low confidence
1857 February,1857 ,low confidence
1950 October,1950 ,low confidence
2015 February,2015 ,low confidence
1839 January,1839 ,low confidence
2015 May,2015 ,low confidence
1960 October,1960 ,low confidence
1848 August,1848 ,low confidence
1847 September,1847 ,low confidence
2012 December,2012 ,low confidence
1863 January,1863 ,low confidence
1846 January,1846 ,low confidence
1811 June,1811 ,low confidence
1927 July,1927 ,low confidence
1847 October,1847 ,low confidence
1947 October,1947 ,low confidence
1989 May,1989 ,low confidence
1814 November,1814 ,low confidence
1987 September,1987 ,low confidence
1893 January,1893 ,low confidence
1967 July,1967 ,low confidence
1851 January,1851 ,low confidence
1864 September,1864 ,low confidence
1885 March,1885 ,low confidence
1999 September,1999 ,low confidence
1966 March,1966 ,low confidence
1900 May,1900 ,low confidence
1955 January,1955 ,low confidence
1957 February,1957 ,low confidence
1969 October,1969 ,low confidence
1931 March,1931 ,low confidence
1856 August,1856 ,low confidence
2015 January,2015 ,low confidence
1857 June,1857 ,low confidence
1856 November,1856 ,low confidence
1933 September,1933 ,low confidence
1946 January,1946 ,low confidence
1847 August,1847 ,low confidence
1874 September,1874 ,low confidence
1958 June,1958 ,low confidence
1843 January,1843 ,low confidence
1931 March,1931 ,low confidence
1896 November,1896 ,low confidence
1867 January,1867 ,low confidence
1949 May,1949 ,low confidence
1949 April,1949 ,low confidence
1764 January,1764 ,low confidence
1812 March ,1812 ,low confidence
1958 June,1958 ,low confidence
1992 July,1992 ,low confidence
1930 August,1930 ,low confidence
1866 January,1866 ,low confidence
1856 April,1856 ,low confidence
1933 May,1933 ,low confidence
1856 January,1856 ,low confidence
1836 January,1836 ,low confidence
1909 July,1909 ,low confidence
1875 November,1875 ,low confidence
1856 January,1856 ,low confidence
2012 September,2012 ,low confidence
1937 April,1937 ,low confidence
2013 October,2013 ,low confidence
1954 April,1954 ,low confidence
1939 July,1939 ,low confidence
1836 January,1836 ,low confidence
1908 October,1908 ,low confidence
1956 July,1956 ,low confidence
1847 August,1847 ,low confidence
1966 February,1966 ,low confidence
1856 June,1856 ,low confidence
1863 March,1863 ,low confidence
1927 September,1927 ,low confidence
1867 March ,1867 ,low confidence
2019 July,2019 ,low confidence
2005 July,2005 ,low confidence
1807 December,1807 ,low confidence
1954 May,1954 ,low confidence
1975 May,1975 ,low confidence
2014 July,2014 ,low confidence
1984 January,1984 ,low confidence
1916 June,1916 ,low confidence
1934 August,1934 ,low confidence
1922 May,1922 ,low confidence
1969 January,1969 ,low confidence
2017 February,2017 ,low confidence
2014 March,2014 ,low confidence
1836 January,1836 ,low confidence
1832 February,1832 ,low confidence
2009 November,2009 ,low confidence
1921 February,1921 ,low confidence
1855 October,1855 ,low confidence
1858 October,1858 ,low confidence
2015 August,2015 ,low confidence
1928 June,1928 ,low confidence
1847 January,1847 ,low confidence
2014 December,2014 ,low confidence
1836 January,1836 ,low confidence
1976 August,1976 ,low confidence
1828 January,1828 ,low confidence
1776 January,1776 ,low confidence
1874 April,1874 ,low confidence
1836 January,1836 ,low confidence
1957 February,1957 ,low confidence
1917 August,1917 ,low confidence
1836 January,1836 ,low confidence
1795 December,1795 ,low confidence
1835 January,1835 ,low confidence
1784 September,1784 ,low confidence
1843 January,1843 ,low confidence
1887 March,1887 ,low confidence
1933 May,1933 ,low confidence
1848 May,1848 ,low confidence
1847 May,1847 ,low confidence
2017 December,2017 ,low confidence
1850 July,1850 ,low confidence
1811 December,1811 ,low confidence
1833 January,1833 ,low confidence
1922 March,1922 ,low confidence
1869 September,1869 ,low confidence
2015 February,2015 ,low confidence
1928 May,1928 ,low confidence
1802 July,1802 ,low confidence
1953 October,1953 ,low confidence
1796 November,1796 ,low confidence
1902 August,1902 ,low confidence
1933 January,1933 ,low confidence
1989 January,1989 ,low confidence
1962 January,1962 ,low confidence
1814 November,1814 ,low confidence
1957 December,1957 ,low confidence
1886 April,1886 ,low confidence
1907 March,1907 ,low confidence
1885 January,1885 ,low confidence
1808 January,1808 ,low confidence
1912 October,1912 ,low confidence
1932 October,1932 ,low confidence
1976 July,1976 ,low confidence
1968 February ,1968 ,low confidence
1927 July ,1927 ,low confidence
1877 February,1877 ,low confidence
1812 March ,1812 ,low confidence
1866 January,1866 ,low confidence
1837 January,1837 ,low confidence
1820 October,1820 ,low confidence
1913 April ,1913 ,low confidence
1888 December,1888 ,low confidence
1958 June,1958 ,low confidence
1959 May ,1959 ,low confidence
1933 May ,1933 ,low confidence
1977 May,1977 ,low confidence
1799 November ,1799 ,low confidence
1833 January,1833 ,low confidence
2014 July,2014 ,low confidence
1880 November,1880 ,low confidence
1905 February ,1905 ,low confidence
1978 January ,1978 ,low confidence
1809 September,1809 ,low confidence
1881 July,1881 ,low confidence
2015 August,2015 ,low confidence
1815 March ,1815 ,low confidence
1886 September,1886 ,low confidence
1828 January,1828 ,low confidence
1949 June,1949 ,low confidence
1880 August,1880 ,low confidence
1847 January,1847 ,low confidence
1949 May,1949 ,low confidence
1843 January ,1843 ,low confidence
2015 February,2015 ,low confidence
2013 September,2013 ,low confidence
2013 September,2013 ,low confidence
2020 March,2020 ,low confidence
1964 September,1964 ,low confidence
1974 June,1974 ,low confidence
1940 September,1940 ,low confidence
1930 July,1930 ,low confidence
1833 January,1833 ,low confidence
2015 May,2015 ,low confidence
1880 January ,1880 ,low confidence
1867 January ,1867 ,low confidence
2016 May,2016 ,low confidence
1834 January,1834 ,low confidence
1847 January,1847 ,low confidence
1856 July ,1856 ,low confidence
1986 March,1986 ,low confidence
2010 October,2010 ,low confidence
1826 January,1826 ,low confidence
1947 July,1947 ,low confidence
1905 June,1905 ,low confidence
1963 February,1963 ,low confidence
1882 September,1882 ,low confidence
1827 January,1827 ,low confidence
1811 May ,1811 ,low confidence
1702 March,1702 ,low confidence
1987 March,1987 ,low confidence
2016 January,2016 ,low confidence
1854 August,1854 ,low confidence
1938 October,1938 ,low confidence
1953 July,1953 ,low confidence
1855 May,1855 ,low confidence
1952 June,1952 ,low confidence
1942 November,1942 ,low confidence
1953 September,1953 ,low confidence
2014 December,2014 ,low confidence
1933 May,1933 ,low confidence
2019 May,2019 ,low confidence
1845 January ,1845 ,low confidence
1702 January ,1702 ,low confidence
1888 February ,1888 ,low confidence
1960 March ,1960 ,low confidence
1856 October,1856 ,low confidence
1851 January ,1851 ,low confidence
1933 May ,1933 ,low confidence
2018 October,2018 ,low confidence
1993 October,1993 ,low confidence
1855 January ,1855 ,low confidence
1847 January ,1847 ,low confidence
1887 April,1887 ,low confidence
2010 August,2010 ,low confidence
